,MotieID,date,Indiener,Indiener_party,Medeindiener_1,Medeindiener_party_1,Medeindiener_2,Medeindiener_party_2,Medeindiener_3,Medeindiener_party_3,Medeindiener_4,Medeindiener_party_4,Medeindiener_5,Medeindiener_party_5,Medeindiener_6,Medeindiener_party_6,Medeindiener_7,Medeindiener_party_7,Medeindiener_8,Medeindiener_party_8,Medeindiener_9,Medeindiener_party_9,Medeindiener_10,Medeindiener_party_10,Medeindiener_11,Medeindiener_party_11,Medeindiener_12,Medeindiener_party_12,Medeindiener_13,Medeindiener_party_13
184,21501-20-1387,22 november 2018,Pieter Omtzigt, Christen-Democratisch Appèl,Kees Verhoeven, Democraten 66,M.J. van Rooijen, 50PLUS,Stieneke van der Graaf, ChristenUnie,Arne Weverling, Volkspartij voor Vrijheid en Democratie,Chris Stoffer, Staatkundig Gereformeerde Partij,,,,,,,,,,,,,,,,
185,21501-20-1388,22 november 2018,Eerste ondertekenaar Lammert van Raan, Partij voor de Dieren,,,,,,,,,,,,,,,,,,,,,,,,,,
186,21501-20-1395,12 december 2018,Renske Leijten, Socialistische Partij,M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,,,,,,,,,,,
187,21501-20-1396,12 december 2018,Bram van Ojik, GroenLinks,Indiener: S.A. Blok, minister van Buitenlandse Zaken,,,,,,,,,,,,,,,,,,,,,,,,
188,21501-20-1397,12 december 2018,M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,
189,21501-20-1398,12 december 2018,M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,
190,21501-20-1399,12 december 2018,M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,
191,21501-20-1400,12 december 2018,Lodewijk Asscher, Partij van de Arbeid,Bram van Ojik, GroenLinks,Renske Leijten, Socialistische Partij,,,,,,,,,,,,,,,,,,,,,,
192,21501-20-1401,12 december 2018,Chris Stoffer, Staatkundig Gereformeerde Partij,,,,,,,,,,,,,,,,,,,,,,,,,,
193,21501-20-1402,12 december 2018,Tony van Dijck, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,,,
194,21501-20-1403,12 december 2018,Tony van Dijck, Partij voor de Vrijheid,Vicky Maeijer, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,
195,21501-20-1404,12 december 2018,Kees Verhoeven, Democraten 66,Eppo Bruins, ChristenUnie,Lodewijk Asscher, Partij van de Arbeid,Renske Leijten, Socialistische Partij,Pieter Omtzigt, Christen-Democratisch Appèl,Bram van Ojik, GroenLinks,M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,
196,21501-20-1405,12 december 2018,Pieter Omtzigt, Christen-Democratisch Appèl,Eppo Bruins, ChristenUnie,,,,,,,,,,,,,,,,,,,,,,,,
197,21501-20-1406,12 december 2018,Eerste ondertekenaar Renske Leijten, Socialistische Partij,Mede ondertekenaar Tony van Dijck, Partij voor de Vrijheid,Mede ondertekenaar Chris Stoffer, Staatkundig Gereformeerde Partij,Mede ondertekenaar M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,,,,,,,
198,21501-20-1408,19 december 2018,M.J. van Rooijen, 50PLUS,,,,,,,,,,,,,,,,,,,,,,,,,,
199,21501-20-1409,19 december 2018,Vicky Maeijer, Partij voor de Vrijheid,Tony van Dijck, Partij voor de Vrijheid,,,,,,,,,,,,,,,,,,,,,,,,
